bookid,authorid,publisherid,Book,Genureid,Avg_Rating
36,1035,10035,Hamlet,90035,4.02
37,1036,10036,Harry Potter and the Half-Blood Prince (Harry Potter #6),90036,4.58
38,1037,10037,The Adventures of Huckleberry Finn,90037,3.83
39,1038,10038,Tolkien On Fairy-stories,90038,4.32
40,1039,10039,Les Misérables,90039,4.2
41,1040,10040,The Alchemist,90040,3.9
42,1041,10041,Brave New World / Brave New World Revisited,90041,4.16
43,1042,10042,Crime and Punishment,90042,4.26
44,1043,10043,The Help,90043,4.47
45,1044,10044,The Secret Garden,90044,4.15
46,1045,10045,Memoirs of a Geisha,90045,4.14
47,1046,10046,The Lion the Witch and the Wardrobe (Chronicles of Narnia #1),90046,4.23
48,1047,10047,The Odyssey,90047,3.8
49,1048,10048,A Christmas Carol,90048,4.07
50,1049,10049,The Cat in the Hat (The Cat in the Hat #1),90049,4.18
51,1050,10050,The Outsiders,90050,4.12
52,1051,10051,One Hundred Years of Solitude,90051,4.11
53,1052,10052,The Grapes of Wrath,90052,4.0
54,1053,10053,A Thousand Splendid Suns,90053,4.42
55,1054,10054,Anne of Green Gables (Anne of Green Gables #1),90054,4.3
56,1055,10055,Where the Sidewalk Ends,90055,4.32
57,1056,10056,The Count of Monte Cristo,90056,4.29
58,1057,10057,Ender’s Game (Ender's Saga #1),90057,4.31
59,1058,10058,Where the Wild Things Are,90058,4.24
60,1059,10059,The Color Purple,90059,4.26
61,1060,10060,A Tale of Two Cities,90060,3.86
62,1061,10061,The Adventures of Tom Sawyer,90061,3.92
63,1062,10062,Life of Pi,90062,3.93
64,1063,10063,The Handmaid’s Tale (The Handmaid's Tale #1),90063,4.13
65,1064,10064,One Flew Over the Cuckoo's Nest,90064,4.2
66,1065,10065,Frankenstein: The 1818 Text,90065,3.85
67,1066,10066,Flowers for Algernon,90066,4.19
68,1067,10067,Oh the Places You'll Go!,90067,4.36
69,1068,10068,Anna Karenina,90068,4.08
70,1069,10069,Tuesdays with Morrie,90069,4.16
71,1070,10070,Winnie-the-Pooh (Winnie-the-Pooh #1),90070,4.35
72,1071,10071,The Fellowship of the Ring (The Lord of the Rings #1),90071,4.38
73,1072,10072,Slaughterhouse-Five,90072,4.09
74,1073,10073,The Old Man and the Sea,90073,3.8
75,1074,10074,Catch-22,90074,3.99
76,1075,10075,The Scarlet Letter,90075,3.43
77,1076,10076,Macbeth,90076,3.9
78,1077,10077,Twilight (The Twilight Saga #1),90077,3.64
79,1078,10078,Lolita,90078,3.88
80,1079,10079,The Metamorphosis,90079,3.85
81,1080,10080,The Time Traveler's Wife,90080,3.99
82,1081,10081,Siddhartha,90081,4.06
83,1082,10082,The Stranger,90082,4.01
84,1083,10083,Goodnight Moon,90083,4.3
85,1084,10084,Harry Potter and the Chamber of Secrets (Harry Potter #2),90084,4.43
86,1085,10085,A Tree Grows in Brooklyn,90085,4.29
87,1086,10086,War and Peace,90086,4.15
88,1087,10087,The Little House Collection (Little House #1-9),90087,4.35
89,1088,10088,A Clockwork Orange,90088,4.0
90,1089,10089,All Quiet on the Western Front,90089,4.05
91,1090,10090,The Stand,90090,4.34
92,1091,10091,Don Quixote,90091,3.89
93,1092,10092,Uncle Tom's Cabin,90092,3.9
94,1093,10093,القرآن الكريم,90093,4.38
95,1094,10094,Atlas Shrugged,90094,3.69
96,1095,10095,The Brothers Karamazov,90095,4.36
97,1096,10096,The Poisonwood Bible,90096,4.09
98,1097,10097,I Know Why the Caged Bird Sings (Maya Angelou's Autobiography #1),90097,4.28
99,1098,10098,The Book of Mormon: Another Testament of Jesus Christ,90098,4.26
100,1099,10099,Moby-Dick or the Whale,90099,3.53
101,1100,10100,The Da Vinci Code (Robert Langdon #2),90100,3.9
102,1101,10101,Great Expectations,90101,3.79
103,1102,10102,The Good Earth (House of Earth #1),90102,4.0
104,1103,10103,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,90103,4.45
105,1104,10104,Dracula,90104,4.01
106,1105,10105,A Wrinkle in Time (Time Quintet #1),90105,3.99
107,1106,10106,The Fault in Our Stars,90106,4.15
108,1107,10107,Matilda,90107,4.33
109,1108,10108,The Perks of Being a Wallflower,90108,4.22
110,1109,10109,Brave New World,90109,3.99
111,1110,10110,Sense and Sensibility,90110,4.08
112,1111,10111,The Princess Bride,90111,4.26
113,1112,10112,The Iliad,90112,3.9
114,1113,10113,East of Eden,90113,4.4
115,1114,10114,Where the Red Fern Grows,90114,4.1
116,1115,10115,The Tell-Tale Heart and Other Writings,90115,4.19
117,1116,10116,Man's Search for Meaning,90116,4.37
118,1117,10117,The Lorax,90117,4.34
119,1118,10118,Catching Fire (The Hunger Games #2),90118,4.31
120,1119,10119,The Curious Incident of the Dog in the Night-Time,90119,3.89
121,1120,10120,The Declaration of Independence / The Constitution of the United States,90120,4.44
122,1121,10121,A Game of Thrones (A Song of Ice and Fire #1),90121,4.44
123,1122,10122,Watership Down (Watership Down #1),90122,4.08
124,1123,10123,The Bell Jar,90123,4.04
125,1124,10124,Charlie and the Chocolate Factory (Charlie Bucket #1),90124,4.15
126,1125,10125,The Last Lecture,90125,4.26
127,1126,10126,Rebecca,90126,4.24
128,1127,10127,The Velveteen Rabbit,90127,4.29
129,1128,10128,Dune (Dune #1),90128,4.26
130,1129,10129,And Then There Were None,90129,4.28
131,1130,10130,The Fountainhead,90130,3.88
132,1131,10131,The Lovely Bones,90131,3.84
133,1132,10132,Alice in Wonderland,90132,4.03
134,1133,10133,The Call of the Wild,90133,3.9
135,1134,10134,The Girl with the Dragon Tattoo (Millennium #1),90134,4.16
136,1135,10135,The Return of the King (The Lord of the Rings #3),90135,4.56
137,1136,10136,The Five People You Meet in Heaven,90136,3.98
138,1137,10137,Animal Farm / 1984,90137,4.3
139,1138,10138,Perfume: The Story of a Murderer,90138,4.03
140,1139,10139,Angela's Ashes (Frank McCourt #1),90139,4.14
141,1140,10140,The Wonderful Wizard of Oz (Oz #1),90140,3.99
142,1141,10141,The Two Towers (The Lord of the Rings #2),90141,4.47
143,1142,10142,Love You Forever,90142,4.37
144,1143,10143,Bridge to Terabithia,90143,4.04
145,1144,10144,A Prayer for Owen Meany,90144,4.24
146,1145,10145,The Road,90145,3.98
147,1146,10146,The Divine Comedy,90146,4.07
148,1147,10147,A Midsummer Night's Dream,90147,3.95
149,1148,10148,A Story of Yesterday,90148,4.6
150,1149,10149,The Prophet,90149,4.23
151,1150,10150,Persuasion,90150,4.15
152,1151,10151,The Name of the Rose,90151,4.13
153,1152,10152,The Three Musketeers (The D'Artagnan Romances #1),90152,4.09
154,1153,10153,Water for Elephants,90153,4.1
155,1154,10154,The Golden Compass (His Dark Materials #1),90154,4.01
156,1155,10155,The Boy in the Striped Pajamas,90155,4.15
157,1156,10156,The Pillars of the Earth (Kingsbridge #1),90156,4.33
158,1157,10157,How the Grinch Stole Christmas!,90157,4.37
159,1158,10158,Jonathan Livingston Seagull,90158,3.85
160,1159,10159,Oliver Twist,90159,3.88
161,1160,10160,The Secret Life of Bees,90160,4.08
162,1161,10161,The Notebook (The Notebook #1),90161,4.14
163,1162,10162,The Master and Margarita,90162,4.29
164,1163,10163,Mockingjay (The Hunger Games #3),90163,4.07
165,1164,10164,The Complete Sherlock Holmes,90164,4.5
166,1165,10165,In Cold Blood,90165,4.08
167,1166,10166,The Crucible: A Play in Four Acts,90166,3.6
168,1167,10167,Heart of Darkness,90167,3.43
169,1168,10168,The Shadow of the Wind (The Cemetery of Forgotten Books #1),90168,4.29
170,1169,10169,The Red Tent,90169,4.19
171,1170,10170,Love in the Time of Cholera,90170,3.93
172,1171,10171,The Glass Castle,90171,4.3
173,1172,10172,The Gift of the Magi,90172,4.1
174,1173,10173,The Unbearable Lightness of Being,90173,4.11
175,1174,10174,Eat Pray Love,90174,3.61
176,1175,10175,Interview with the Vampire (The Vampire Chronicles #1),90175,4.01
177,1176,10176,The Canterbury Tales,90176,3.52
178,1177,10177,On the Road,90177,3.62
179,1178,10178,The Art of War,90178,3.97
180,1179,10179,Aesop's Fables,90179,4.05
181,1180,10180,The Screwtape Letters,90180,4.25
182,1181,10181,Fight Club,90181,4.19
183,1182,10182,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,90182,4.61
184,1183,10183,Dr. Jekyll and Mr. Hyde,90183,3.83
185,1184,10184,Gulliver's Travels: Travels into Several Remote Nations of the World.,90184,3.58
186,1185,10185,The Godfather (The Godfather #1),90185,4.38
187,1186,10186,Robinson Crusoe,90186,3.68
188,1187,10187,Walden,90187,3.78
189,1188,10188,The Origin of Species,90188,4.0
190,1189,10189,Invisible Man,90189,3.91
191,1190,10190,Emma,90190,4.04
192,1191,10191,The Prince,90191,3.83
193,1192,10192,Sophie's World,90192,3.96
194,1193,10193,The Complete Grimm's Fairy Tales,90193,4.28
195,1194,10194,The Trial,90194,3.96
196,1195,10195,The Time Machine,90195,3.9
197,1196,10196,Watchmen (Watchmen #1-12),90196,4.37
198,1197,10197,Roots: The Saga of an American Family,90197,4.44
199,1198,10198,Candide,90198,3.76
200,1199,10199,Beloved,90199,3.93
201,1200,10200,Atonement,90200,3.93
202,1201,10201,Go Ask Alice,90201,3.75
203,1202,10202,My Sister's Keeper,90202,4.09
204,1203,10203,Tuck Everlasting,90203,3.89
205,1204,10204,Stranger in a Strange Land,90204,3.92
206,1205,10205,The Sun Also Rises,90205,3.8
207,1206,10206,Divergent (Divergent #1),90206,4.15
208,1207,10207,The Mists of Avalon (Avalon #1),90207,4.13
209,1208,10208,Mere Christianity,90208,4.35
210,1209,10209,The Tale of Peter Rabbit,90209,4.21
211,1210,10210,The Phantom Tollbooth,90210,4.19
212,1211,10211,The Things They Carried,90211,4.14
213,1212,10212,The Lightning Thief (Percy Jackson and the Olympians #1),90212,4.29
214,1213,10213,Murder on the Orient Express (Hercule Poirot #10),90213,4.2
215,1214,10214,Number the Stars,90214,4.18
216,1215,10215,The Constitution of the United States of America,90215,4.52
217,1216,10216,Bury My Heart at Wounded Knee: An Indian History of the American West,90216,4.24
218,1217,10217,James and the Giant Peach,90217,4.03
219,1218,10218,The Complete Maus,90218,4.57
220,1219,10219,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1-5),90219,4.38
221,1220,10220,Middlesex,90220,4.03
222,1221,10221,Schindler's List,90221,4.34
223,1222,10222,The Autobiography of Malcolm X,90222,4.35
224,1223,10223,The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,90223,4.64
225,1224,10224,A Little Princess,90224,4.22
226,1225,10225,A Child Called It (Dave Pelzer #1),90225,4.12
227,1226,10226,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,90226,3.66
228,1227,10227,Leaves of Grass,90227,4.11
229,1228,10228,Into the Wild,90228,4.0
230,1229,10229,Their Eyes Were Watching God,90229,3.97
231,1230,10230,The Wind in the Willows,90230,4.0
232,1231,10231,Speak,90231,4.04
233,1232,10232,Peter Pan,90232,4.04
234,1233,10233,The Republic,90233,3.96
235,1234,10234,A People's History of the United States,90234,4.07
236,1235,10235,The World According to Garp,90235,4.1
237,1236,10236,American Gods (American Gods #1),90236,4.11
238,1237,10237,Holes (Holes #1),90237,3.99
239,1238,10238,Looking for Alaska,90238,3.98
240,1239,10239,The Story of My Life,90239,4.08
241,1240,10240,The Secret Magdalene,90240,4.16
242,1241,10241,Things Fall Apart (The African Trilogy #1),90241,3.72
243,1242,10242,The Hound of the Baskervilles (Sherlock Holmes #5),90242,4.13
244,1243,10243,A Short History of Nearly Everything,90243,4.21
245,1244,10244,Good Omens: The Nice and Accurate Prophecies of Agnes Nutter Witch,90244,4.25
246,1245,10245,The Addiction Manifesto,90245,4.87
247,1246,10246,A Brief History of Time,90246,4.21
248,1247,10247,زندگی مه آلود پریا,90247,3.28
249,1248,10248,Island of the Blue Dolphins,90248,3.86
250,1249,10249,A Farewell to Arms,90249,3.81
251,1250,10250,Cat's Cradle,90250,4.16
252,1251,10251,A Separate Peace,90251,3.59
253,1252,10252,Blindness,90252,4.16
254,1253,10253,The Complete Fairy Tales,90253,4.29
255,1254,10254,The Raven,90254,4.29
256,1255,10255,The Shack,90255,3.81
257,1256,10256,The God Delusion,90256,3.9
258,1257,10257,Fried Green Tomatoes at the Whistle Stop Cafe (Whistle Stop #1),90257,4.28
259,1258,10258,Madame Bovary,90258,3.7
260,1259,10259,The Joy Luck Club,90259,3.96
261,1260,10260,Tao Te Ching,90260,4.3
262,1261,10261,Sophie's Choice,90261,4.18
263,1262,10262,The Neverending Story,90262,4.18
264,1263,10263,A Confederacy of Dunces,90263,3.88
265,1264,10264,Never Let Me Go,90264,3.84
266,1265,10265,How to Win Friends and Influence People,90265,4.22
267,1266,10266,Extremely Loud & Incredibly Close,90266,3.97
268,1267,10267,Flow Down Like Silver,90267,3.98
269,1268,10268,The Clan of the Cave Bear (Earth's Children #1),90268,4.08
270,1269,10269,Guns Germs and Steel: The Fates of Human Societies,90269,4.04
271,1270,10270,Angels & Demons (Robert Langdon #1),90270,3.93
272,1271,10271,Tess of the D'Urbervilles,90271,3.82
273,1272,10272,The Color Purple,90272,4.26
274,1273,10273,Outlander (Outlander #1),90273,4.25
275,1274,10274,Eclipse (The Twilight Saga #3),90274,3.72
276,1275,10275,The Tao of Pooh,90275,4.0
277,1276,10276,One Day in the Life of Ivan Denisovich,90276,3.97
278,1277,10277,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,90277,4.15
279,1278,10278,Ulysses,90278,3.75
280,1279,10279,A Light in the Attic,90279,4.35
281,1280,10280,Nickel and Dimed: On (Not) Getting by in America,90280,3.65
282,1281,10281,Breaking Dawn (The Twilight Saga #4),90281,3.73
283,1282,10282,The Jungle,90282,3.76
284,1283,10283,Lonesome Dove (Lonesome Dove #1),90283,4.52
285,1284,10284,The Name of the Wind (The Kingkiller Chronicle #1),90284,4.52
286,1285,10285,The Phantom of the Opera,90285,3.96
287,1286,10286,Paradise Lost,90286,3.83
288,1287,10287,Horton Hears a Who!,90287,4.2
289,1288,10288,The God of Small Things,90288,3.95
290,1289,10289,All Creatures Great and Small / All Things Bright and Beautiful,90289,4.32
291,1290,10290,Are You There God? It's Me Margaret,90290,3.92
292,1291,10291,The Green Mile,90291,4.47
293,1292,10292,The Iliad / The Odyssey,90292,4.06
294,1293,10293,The House of the Spirits,90293,4.27
295,1294,10294,Treasure Island,90294,3.84
296,1295,10295,The Shining (The Shining #1),90295,4.26
297,1296,10296,V for Vendetta,90296,4.26
298,1297,10297,The Complete Works,90297,4.47
299,1298,10298,New Moon (The Twilight Saga #2),90298,3.58
300,1299,10299,The Foundation Trilogy (Foundation #1-3),90299,4.41
301,1300,10300,Julius Caesar,90300,3.7
302,1301,10301,Little House in the Big Woods (Little House #1),90301,4.2
303,1302,10302,Neverwhere (London Below #1),90302,4.17
304,1303,10303,The Guernsey Literary and Potato Peel Pie Society,90303,4.19
305,1304,10304,The Elements of Style,90304,4.18
306,1305,10305,The Importance of Being Earnest,90305,4.18
307,1306,10306,Harry Potter and the Order of the Phoenix (Harry Potter #5),90306,4.5
308,1307,10307,For Whom the Bell Tolls,90307,3.98
309,1308,10308,David Copperfield,90308,4.02
310,1309,10309,Unbroken: A World War II Story of Survival Resilience and Redemption,90309,4.37
311,1310,10310,The Girl Who Played with Fire (Millennium #2),90310,4.25
312,1311,10311,The Thorn Birds,90311,4.24
313,1312,10312,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus #1),90312,3.78
314,1313,10313,Death of a Salesman,90313,3.56
315,1314,10314,A Walk in the Woods: Rediscovering America on the Appalachian Trail,90314,4.06
316,1315,10315,Othello,90315,3.89
317,1316,10316,The Communist Manifesto,90316,3.64
318,1317,10317,Beowulf,90317,3.47
319,1318,10318,Norwegian Wood,90318,4.02
320,1319,10319,Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years #1),90319,3.54
321,1320,10320,It,90320,4.25
322,1321,10321,Room,90321,4.07
323,1322,10322,A Fine Balance,90322,4.37
324,1323,10323,Eragon (The Inheritance Cycle #1),90323,3.94
325,1324,10324,The Chosen (Reuven Malther #1),90324,4.06
326,1325,10325,Thirteen Reasons Why,90325,3.86
327,1326,10326,The Trigger: Hunting the Assassin Who Brought the World to War,90326,3.78
328,1327,10327,The Awakening,90327,3.67
329,1328,10328,The Martian Chronicles,90328,4.15
330,1329,10329,The Reader,90329,3.77
331,1330,10330,Who Moved My Cheese?,90330,3.86
332,1331,10331,The Plague,90331,4.02
333,1332,10332,The Host (The Host #1),90332,3.85
334,1333,10333,Lamb: The Gospel According to Biff Christ's Childhood Pal,90333,4.22
335,1334,10334,Calvin and Hobbes (Calvin and Hobbes #1),90334,4.6
336,1335,10335,Cry the Beloved Country,90335,3.91
337,1336,10336,Do Androids Dream of Electric Sheep?,90336,4.09
338,1337,10337,Holy Bible: New International Version,90337,4.61
339,1338,10338,Much Ado About Nothing,90338,4.06
340,1339,10339,The Elephant Tree,90339,3.69
341,1340,10340,Steppenwolf,90340,4.13
342,1341,10341,The Girl Who Kicked the Hornet's Nest (Millennium #3),90341,4.23
343,1342,10342,Faust First Part,90342,3.87
344,1343,10343,Johnny Got His Gun,90343,4.19
345,1344,10344,The Cider House Rules,90344,4.15
346,1345,10345,Antigone (The Theban Plays #3),90345,3.66
347,1346,10346,Inferno,90346,4.02
348,1347,10347,The Pilgrim's Progress,90347,4.03
349,1348,10348,Kafka on the Shore,90348,4.14
350,1349,10349,Shōgun (Asian Saga #1),90349,4.4
351,1350,10350,Dead Poets Society,90350,4.19
352,1351,10351,Fear and Loathing in Las Vegas,90351,4.07
353,1352,10352,The House at Pooh Corner (Winnie-the-Pooh #2),90352,4.37
354,1353,10353,Common Sense,90353,3.99
355,1354,10354,Something Wicked This Way Comes (Green Town #2),90354,3.92
356,1355,10355,Jurassic Park (Jurassic Park #1),90355,4.08
357,1356,10356,Oedipus Rex  (The Theban Plays #1),90356,3.72
358,1357,10357,Gone Girl,90357,4.12
359,1358,10358,The Power of One (The Power of One #1),90358,4.34
360,1359,10359,Hatchet (Brian's Saga #1),90359,3.77
361,1360,10360,A Walk to Remember,90360,4.19
362,1361,10361,Wonder (Wonder #1),90361,4.38
363,1362,10362,The Complete Persepolis,90362,4.39
364,1363,10363,Shantaram,90363,4.27
365,1364,10364,The Art of Racing in the Rain,90364,4.22
366,1365,10365,City of Bones (The Mortal Instruments #1),90365,4.08
367,1366,10366,His Dark Materials (His Dark Materials #1-3),90366,4.28
368,1367,10367,Silent Spring,90367,4.02
369,1368,10368,Cloud Atlas,90368,4.01
370,1369,10369,The Immortal Life of Henrietta Lacks,90369,4.1
371,1370,10370,Cosmos,90370,4.39
372,1371,10371,The Zombie Room,90371,3.74
373,1372,10372,Native Son,90372,4.02
374,1373,10373,The Glass Menagerie,90373,3.73
375,1374,10374,Waiting for Godot,90374,3.84
376,1375,10375,Girl with a Pearl Earring,90375,3.92
377,1376,10376,The Once and Future King,90376,4.07
378,1377,10377,The Four Agreements,90377,4.18
379,1378,10378,Old Yeller,90378,4.09
380,1379,10379,Heidi,90379,4.02
381,1380,10380,Chasing the Devil: The Search for Africa's Fighting Spirit,90380,4.12
382,1381,10381,The Idiot,90381,4.2
383,1382,10382,Twenty Thousand Leagues Under the Sea (Captain Nemo #2),90382,3.89
384,1383,10383,American Psycho,90383,3.81
385,1384,10384,Black Beauty,90384,3.98
386,1385,10385,Narrative of the Life of Frederick Douglass,90385,4.09
387,1386,10386,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,90386,4.0
388,1387,10387,Life Application Study Bible: NIV,90387,4.64
389,1388,10388,The Night Circus,90388,4.03
390,1389,10389,The Complete Poems of Emily Dickinson,90389,4.26
391,1390,10390,Mrs. Dalloway,90390,3.79
392,1391,10391,The Jungle Books,90391,4.01
393,1392,10392,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,90392,4.15
394,1393,10393,The War of the Worlds,90393,3.83
395,1394,10394,Little House on the Prairie (Little House #3),90394,4.21
396,1395,10395,Inkheart (Inkworld #1),90395,3.91
397,1396,10396,The Sound and the Fury,90396,3.86
398,1397,10397,Mansfield Park,90397,3.86
399,1398,10398,My Ántonia (Great Plains Trilogy #3),90398,3.82
400,1399,10399,All the Light We Cannot See,90399,4.32
401,1400,10400,Pippi Longstocking (Pippi Långstrump #1),90400,4.15
402,1401,10401,Stargirl (Stargirl #1),90401,3.77
403,1402,10402,The Epic of Gilgamesh,90402,3.72
404,1403,10403,The Diving Bell and the Butterfly,90403,3.98
405,1404,10404,The Bluest Eye,90404,4.1
406,1405,10405,Breakfast at Tiffany's and Three Stories,90405,3.85
407,1406,10406,Anthem,90406,3.62
408,1407,10407,The Heart Is a Lonely Hunter,90407,3.99
409,1408,10408,The Art of Happiness,90408,4.17
410,1409,10409,The Remains of the Day,90409,4.14
411,1410,10410,Howl’s Moving Castle (Howl’s Moving Castle #1),90410,4.29
412,1411,10411,The Thirteenth Tale,90411,3.97
413,1412,10412,White Fang,90412,4.01
414,1413,10413,Marley and Me: Life and Love With the World's Worst Dog,90413,4.14
415,1414,10414,Mistress Suffragette,90414,4.29
416,1415,10415,Still Alice,90415,4.32
417,1416,10416,She's Come Undone,90416,3.9
418,1417,10417,A Time to Kill (Jake Brigance #1),90417,4.1
419,1418,10418,Houdini Heart,90418,3.82
420,1419,10419,Around the World in Eighty Days,90419,3.94
421,1420,10420,The Voyage of the Dawn Treader (Chronicles of Narnia #3),90420,4.09
422,1421,10421,King Lear,90421,3.91
423,1422,10422,Middlemarch,90422,4.0
424,1423,10423,The Wind-Up Bird Chronicle,90423,4.15
425,1424,10424,Northanger Abbey,90424,3.84
426,1425,10425,The Omnivore's Dilemma: A Natural History of Four Meals,90425,4.18
427,1426,10426,Different Seasons,90426,4.35
428,1427,10427,Sarah's Key,90427,4.17
429,1428,10428,The Hunchback of Notre-Dame,90428,4.01
430,1429,10429,Notes from Underground White Nights The Dream of a Ridiculous Man and Selections from The House of the Dead,90429,4.18
431,1430,10430,Fast Food Nation: The Dark Side of the All-American Meal,90430,3.75
432,1431,10431,Veronika Decides to Die,90431,3.72
433,1432,10432,Breakfast of Champions,90432,4.07
434,1433,10433,I Know This Much Is True,90433,4.2
435,1434,10434,I Robot (Robot #0.1),90434,4.21
436,1435,10435,A Portrait of the Artist as a Young Man,90435,3.63
437,1436,10436,The Power of Myth,90436,4.26
438,1437,10437,A Wizard of Earthsea (Earthsea Cycle #1),90437,4.01
439,1438,10438,The Secret History,90438,4.17
440,1439,10439,Harper Lee's To Kill a Mockingbird,90439,4.43
441,1440,10440,Bridget Jones's Diary (Bridget Jones #1),90440,3.8
442,1441,10441,World War Z: An Oral History of the Zombie War,90441,4.02
443,1442,10442,The Magician's Nephew (Chronicles of Narnia #6),90442,4.05
444,1443,10443,Ishmael (Ishmael #1),90443,4.0
445,1444,10444,Trainspotting (Mark Renton #2),90444,4.1
446,1445,10445,White Oleander,90445,3.99
447,1446,10446,11/22/63,90446,4.33
448,1447,10447,Snow Flower and the Secret Fan,90447,4.09
449,1448,10448,The Amber Spyglass (His Dark Materials #3),90448,4.1
450,1449,10449,The Purpose Driven Life: What on Earth Am I Here for?,90449,3.96
451,1450,10450,The Prince and the Pauper,90450,3.86
452,1451,10451,The 5 Love Languages: The Secret to Love that Lasts,90451,4.27
453,1452,10452,The Martian,90452,4.41
454,1453,10453,The Autobiography of Benjamin Franklin,90453,3.85
455,1454,10454,The Merchant of Venice,90454,3.79
456,1455,10455,The Selfish Gene,90455,4.15
457,1456,10456,The Amazing Adventures of Kavalier & Clay,90456,4.18
458,1457,10457,The Chain Between Worlds (The Lost Artefacts #1),90457,4.62
459,1458,10458,The Yellow Wallpaper and Other Stories,90458,4.05
460,1459,10459,The Rise and Fall of the Third Reich: A History of Nazi Germany,90459,4.19
461,1460,10460,The Prince of Tides,90460,4.25
462,1461,10461,A Clash of Kings  (A Song of Ice and Fire #2),90461,4.41
463,1462,10462,The Hunger Games Trilogy Boxset (The Hunger Games #1-3),90462,4.49
464,1463,10463,Cold Mountain,90463,3.88
465,1464,10464,A Room of One's Own,90464,4.2
466,1465,10465,The Memory Keeper's Daughter,90465,3.69
467,1466,10466,Outliers: The Story of Success,90466,4.19
468,1467,10467,Lady Chatterley's Lover,90467,3.5
469,1468,10468,The Power of Now: A Guide to Spiritual Enlightenment,90468,4.15
470,1469,10469,The Witches,90469,4.17
471,1470,10470,To the Lighthouse,90470,3.8
472,1471,10471,Infidel,90471,4.18
473,1472,10472,صالة أورفانيللي,90472,4.15
474,1473,10473,Amelia Bedelia  (Amelia Bedelia #1),90473,4.18
475,1474,10474,The Eye of the World (The Wheel of Time #1),90474,4.19
476,1475,10475,Wisdom Revolution (The Machinist The Monk And The Mesmerizer Chronicles #1),90475,4.56
477,1476,10476,On the Beach,90476,3.96
478,1477,10477,Ivanhoe,90477,3.76
479,1478,10478,Dome: Rebellion (Dome #1),90478,4.49
480,1479,10479,Like Water for Chocolate,90479,3.95
481,1480,10480,The Stinky Cheese Man and Other Fairly Stupid Tales,90480,4.2
482,1481,10481,The Witch of Blackbird Pond,90481,4.01
483,1482,10482,The Devil in the White City: Murder Magic and Madness at the Fair That Changed America,90482,4.0
484,1483,10483,Artemis Fowl (Artemis Fowl #1),90483,3.86
485,1484,10484,God Is Not Great: How Religion Poisons Everything,90484,3.95
486,1485,10485,To Live and Drink in L.A.,90485,3.94
487,1486,10486,The BFG,90486,4.22
488,1487,10487,Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities,90487,3.98
489,1488,10488,The Silence of the Lambs  (Hannibal Lecter #2),90488,4.24
490,1489,10489,The Tipping Point: How Little Things Can Make a Big Difference,90489,4.0
