,authorid,Author
374,1374,Samuel Beckett
375,1375,Tracy Chevalier
376,1376,T.H. White
377,1377,Miguel Ruiz
378,1378,Fred Gipson
379,1379,Johanna Spyri
380,1380,Tim Butcher
381,1381,Fyodor Dostoevsky
382,1382,Jules Verne
383,1383,Bret Easton Ellis
384,1384,Anna Sewell
385,1385,Frederick Douglass
386,1386,Steven D. Levitt
387,1387,Anonymous
388,1388,Erin Morgenstern
389,1389,Emily Dickinson
390,1390,Virginia Woolf
391,1391,Rudyard Kipling
392,1392,E.L. Konigsburg
393,1393,H.G. Wells
394,1394,Laura Ingalls Wilder
395,1395,Cornelia Funke
396,1396,William Faulkner
397,1397,Jane Austen
398,1398,Willa Cather
399,1399,Anthony Doerr
400,1400,Astrid Lindgren
401,1401,Jerry Spinelli
402,1402,Anonymous
403,1403,Jean-Dominique Bauby
404,1404,Toni Morrison
405,1405,Truman Capote
406,1406,Ayn Rand
407,1407,Carson McCullers
408,1408,Dalai Lama XIV
409,1409,Kazuo Ishiguro
410,1410,Diana Wynne Jones
411,1411,Diane Setterfield
412,1412,Jack London
413,1413,John Grogan
414,1414,Diana   Forbes
415,1415,Lisa Genova
416,1416,Wally Lamb
417,1417,John Grisham
418,1418,Ki Longfellow
419,1419,Jules Verne
420,1420,C.S. Lewis
421,1421,William Shakespeare
422,1422,George Eliot
423,1423,Haruki Murakami
424,1424,Jane Austen
425,1425,Michael Pollan
426,1426,Stephen King
427,1427,Tatiana de Rosnay
428,1428,Victor Hugo
429,1429,Fyodor Dostoevsky
430,1430,Eric Schlosser
431,1431,Paulo Coelho
432,1432,Kurt Vonnegut Jr.
433,1433,Wally Lamb
434,1434,Isaac Asimov
435,1435,James Joyce
436,1436,Joseph Campbell
437,1437,Ursula K. Le Guin
438,1438,Donna Tartt
439,1439,Harold Bloom
440,1440,Helen Fielding
441,1441,Max Brooks
442,1442,C.S. Lewis
443,1443,Daniel Quinn
444,1444,Irvine Welsh
445,1445,Janet Fitch
446,1446,Stephen King
447,1447,Lisa See
448,1448,Philip Pullman
449,1449,Rick Warren
450,1450,Mark Twain
451,1451,Gary Chapman
452,1452,Andy Weir
453,1453,Benjamin Franklin
454,1454,William Shakespeare
455,1455,Richard Dawkins
456,1456,Michael Chabon
457,1457,Johnathon Nicolaou
458,1458,Charlotte Perkins Gilman
459,1459,William L. Shirer
460,1460,Pat Conroy
461,1461,George R.R. Martin
462,1462,Suzanne Collins
463,1463,Charles Frazier
464,1464,Virginia Woolf
465,1465,Kim Edwards
466,1466,Malcolm Gladwell
467,1467,D.H. Lawrence
468,1468,Eckhart Tolle
469,1469,Roald Dahl
470,1470,Virginia Woolf
471,1471,Ayaan Hirsi Ali
472,1472,أشرف العشماوي
473,1473,Peggy Parish
474,1474,Robert Jordan
475,1475,Misba
476,1476,Nevil Shute
477,1477,Walter Scott
478,1478,Johnathon Nicolaou
479,1479,Laura Esquivel
480,1480,Jon Scieszka
481,1481,Elizabeth George Speare
482,1482,Erik Larson
483,1483,Eoin Colfer
484,1484,Christopher Hitchens
485,1485,Ben Peller
486,1486,Roald Dahl
487,1487,Flora Rheta Schreiber
488,1488,Thomas  Harris
489,1489,Malcolm Gladwell
490,1490,Ursula K. Le Guin
491,1491,Misba
492,1492,Juddy Anderson C. Punzalan
493,1493,Misba
494,1494,Lionel Shriver
495,1495,Michael Shaara
496,1496,Jean Craighead George
497,1497,Misba
498,1498,J.D. Salinger
499,1499,Jung Chang
500,1500,Judith Viorst
501,1501,Yuval Noah Harari
502,1502,Johnathon Nicolaou
503,1503,Iain Banks
504,1504,Sam McBratney
505,1505,Virgil
506,1506,Richard Bach
507,1507,Alb Imeri
508,1508,John Berendt
509,1509,Ken Follett
510,1510,J.R.R. Tolkien
511,1511,Neil Gaiman
512,1512,Arthur C. Clarke
513,1513,Juddy Anderson C. Punzalan
514,1514,Stephen King
515,1515,Philippa Gregory
516,1516,Salman Rushdie
517,1517,Edmond Rostand
518,1518,Arthur Conan Doyle
519,1519,Jonathan Safran Foer
520,1520,Susan Cain
521,1521,Salman Rushdie
522,1522,George R.R. Martin
523,1523,Alexander Hamilton
524,1524,Friedrich Nietzsche
525,1525,Boris Pasternak
526,1526,Richard Carlson
527,1527,Primo Levi
528,1528,George Eliot
529,1529,David Guterson
530,1530,Shirley Jackson
531,1531,William Shakespeare
532,1532,Vincent Bugliosi
533,1533,Michael Ondaatje
534,1534,Rick Riordan
535,1535,Kyle Keyes
536,1536,Hubert Selby Jr.
537,1537,Jules Verne
538,1538,Ann Patchett
539,1539,Ray Bradbury
540,1540,Jon Krakauer
541,1541,سید مرتضی مصطفوی
542,1542,Marcus Aurelius
543,1543,J.K. Rowling
544,1544,Junot Díaz
545,1545,Sandra Cisneros
546,1546,Stephen King
547,1547,Diamante Lavendar
548,1548,Paula Hawkins
549,1549,M. Scott Peck
550,1550,James Dashner
551,1551,Edgar Allan Poe
552,1552,Emmuska Orczy
553,1553,John Hersey
554,1554,John Fowles
555,1555,Janine Myung Ja
556,1556,Mark Z. Danielewski
557,1557,Stephen King
558,1558,Malcolm Gladwell
559,1559,William Shakespeare
560,1560,Tennessee Williams
561,1561,Dave Ramsey
562,1562,C.S. Lewis
563,1563,Elizabeth Kostova
564,1564,Donald Miller
565,1565,James Redfield
566,1566,Steve Snyder
567,1567,Jojo Moyes
568,1568,Robyn Mundell
569,1569,Chuck Palahniuk
570,1570,James W. Loewen
571,1571,Ernest Cline
572,1572,Isaac Asimov
573,1573,E.M. Forster
574,1574,Leif Enger
575,1575,Ransom Riggs
576,1576,Charles Bukowski
577,1577,John Green
578,1578,Simone de Beauvoir
579,1579,Martin Luther King Jr.
580,1580,John Steinbeck
581,1581,Nicholas Evans
582,1582,C.S. Lewis
583,1583,Francine Rivers
584,1584,Leon Uris
585,1585,John Gunther
586,1586,Donna Tartt
587,1587,Christopher Paolini
588,1588,Tom Robbins
589,1589,Dodie Smith
590,1590,Philip Pullman
591,1591,Thomas Hardy
592,1592,William Gibson
593,1593,Robert A. Heinlein
594,1594,Lynne Truss
595,1595,V.C. Andrews
596,1596,David Foster Wallace
597,1597,Edith Wharton
598,1598,William Makepeace Thackeray
599,1599,Toni Morrison
600,1600,Edith Wharton
601,1601,Irvine Welsh
602,1602,Art Spiegelman
603,1603,Munro Leaf
604,1604,Bret Easton Ellis
605,1605,Brian Selznick
606,1606,James Herriot
607,1607,Thomas More
608,1608,Muriel Barbery
609,1609,Cassandra Clare
610,1610,Annie Proulx
611,1611,Ki Longfellow
612,1612,Raymond Chandler
613,1613,Stephen King
614,1614,T.S. Eliot
615,1615,Richelle Mead
616,1616,Christopher Paolini
617,1617,Cecelia Ahern
618,1618,W. Somerset Maugham
619,1619,Johann Wolfgang von Goethe
620,1620,Stephen King
621,1621,Carl Sagan
622,1622,Euripides
623,1623,Cassandra Clare
624,1624,Arthur Conan Doyle
625,1625,Rick Riordan
626,1626,James Joyce
627,1627,Veronica Roth
628,1628,E.M. Forster
629,1629,Art Rios
630,1630,Jon Krakauer
631,1631,John Howard Griffin
632,1632,Kyle Keyes
633,1633,William Faulkner
634,1634,Scott Westerfeld
635,1635,Gayle Forman
636,1636,Ammar Habib
637,1637,Stephen King
638,1638,Jared Diamond
639,1639,Jane Austen
640,1640,Dave Eggers
641,1641,E.L. James
642,1642,Jorge Luis Borges
643,1643,Gail Carson Levine
644,1644,Forrest Carter
645,1645,Aimee Cabo Nikolov
646,1646,Malala Yousafzai
647,1647,Albert Camus
648,1648,Margaret Atwood
649,1649,Terry Pratchett
650,1650,Italo Calvino
651,1651,Cormac McCarthy
652,1652,Kiera Cass
653,1653,Terry Pratchett
654,1654,Laura Hillenbrand
655,1655,Louisa May Alcott
656,1656,Susanna Kaysen
657,1657,Thomas Malory
658,1658,Elisabeth Kubler-Ross
659,1659,Chuck Dixon
660,1660,Carl Bernstein
661,1661,Tim LaHaye
662,1662,John Steinbeck
663,1663,Louis Sachar
664,1664,Nevil Shute
665,1665,Angie Thomas
666,1666,Carl Sagan
667,1667,Lemony Snicket
668,1668,Gabriel F.W. Koch
669,1669,Irma S. Rombauer
670,1670,Kristin Hannah
671,1671,James Frey
672,1672,John Steinbeck
673,1673,Naomi Klein
674,1674,Gregory Dickow
675,1675,Khaled Hosseini
676,1676,George Orwell
677,1677,Michael Ende
678,1678,Nick Hornby
679,1679,Kyle Keyes
680,1680,Krishna-Dwaipayana Vyasa
681,1681,Günter Grass
682,1682,Cassandra Clare
683,1683,Peter S. Beagle
684,1684,Ursula K. Le Guin
685,1685,Rainbow Rowell
686,1686,Philip K. Dick
687,1687,Barbara Kingsolver
688,1688,Yevgeny Zamyatin
689,1689,Bev Stout
690,1690,Nikos Kazantzakis
691,1691,Neil Gaiman
692,1692,Charles Baudelaire
693,1693,Henri Charrière
694,1694,Markus Zusak
695,1695,Evelyn Waugh
696,1696,Robert T. Kiyosaki
697,1697,Eckhart Tolle
698,1698,Jeffrey Eugenides
699,1699,Robert Graves
700,1700,Clement Clarke Moore
701,1701,Katherine Dunn
702,1702,John Fowles
703,1703,Jodi Picoult
704,1704,Fredrik Backman
705,1705,Tom Clancy
706,1706,Richard Matheson
707,1707,Abraham   Verghese
708,1708,Walter Isaacson
709,1709,Susanna Clarke
710,1710,Dave Cullen
711,1711,Barack Obama
712,1712,Oliver Sacks
713,1713,Michael G. Kramer
714,1714,Dan Brown
715,1715,Richard Yates
716,1716,The Church of Jesus Christ of Latter-day Saints
717,1717,Neil Gaiman
718,1718,Edith Wharton
719,1719,Mark Bowden
720,1720,Brandon Sanderson
721,1721,Alan Weisman
722,1722,Neil Gaiman
723,1723,Michael Cunningham
724,1724,Eve Ensler
725,1725,Caleb Carr
726,1726,Jonathan Safran Foer
727,1727,Walter M. Miller Jr.
728,1728,Nelson Mandela
729,1729,Daniel Mangena
730,1730,Chaim Potok
731,1731,Erich Segal
732,1732,Tina Traverse
733,1733,Pat Frank
734,1734,Kenneth Jarrett Singleton
735,1735,Madeleine L'Engle
736,1736,Leo Tolstoy
737,1737,Kate DiCamillo
738,1738,Brandon Sanderson
739,1739,Dan Simmons
740,1740,Alexis de Tocqueville
741,1741,Susan  Rowland
742,1742,Neal Shusterman
743,1743,Randy Loubier
744,1744,P.D. Eastman
745,1745,James   McBride
746,1746,Neal Stephenson
747,1747,Haruki Murakami
748,1748,David McCullough
749,1749,Kenneth Jarrett Singleton
750,1750,Charles Dickens
751,1751,Garth Nix
752,1752,Walt Gleeson
753,1753,Arthur C. Clarke
754,1754,Olive Ann Burns
755,1755,Nicole Krauss
756,1756,Rick Riordan
757,1757,Alan Brennert
758,1758,George R.R. Martin
759,1759,Stephen Crane
760,1760,Rick Riordan
761,1761,Robert Ludlum
762,1762,C. Toni Graham
763,1763,William Faulkner
764,1764,Kristin Cashore
765,1765,Koushun Takami
766,1766,Barbara Kingsolver
767,1767,Simon Sinek
768,1768,Mary Norton
769,1769,Afroz  Alam
770,1770,Jakub Lasak
771,1771,Yuehai Xiao
772,1772,Gabriel García Márquez
773,1773,Tom Sechrist
774,1774,Rebecca Wells
775,1775,Marcel Proust
776,1776,Todd Burpo
777,1777,Tom Sechrist
778,1778,Edwin A. Abbott
779,1779,Anne Rice
780,1780,Gary Edward Gedall
781,1781,William Shakespeare
782,1782,Mary Doria Russell
783,1783,Dave Eggers
784,1784,Ammar Habib
785,1785,Rhonda Byrne
786,1786,Elizabeth Gaskell
787,1787,Aldo Leopold
788,1788,Kyle Keyes
789,1789,J.D. Salinger
790,1790,Hermann Hesse
791,1791,Omar Farhad
792,1792,Margaret Atwood
793,1793,Tara Westover
794,1794,Rohith S. Katbamna
795,1795,Daniel Kahneman
796,1796,T. Rafael Cimino
797,1797,Victoria Dougherty
798,1798,Ken Kesey
799,1799,Delia Owens
800,1800,Peter B. Forster
801,1801,Deborah Leblanc
802,1802,Kathleen Zamboni McCormick
803,1803,Rick Riordan
804,1804,Thomas  Harris
805,1805,Joe   Hart
806,1806,William Shakespeare
807,1807,Louis de Bernières
808,1808,Gabriel F.W. Koch
809,1809,David Wroblewski
810,1810,Rainer Maria Rilke
811,1811,Sebastian Faulks
812,1812,Sam Conniff
813,1813,Mildred D. Taylor
814,1814,Tom Wolfe
815,1815,Marjane Satrapi
816,1816,Barbara W. Tuchman
817,1817,A.S. Byatt
818,1818,Philip K. Dick
819,1819,Arthur Conan Doyle
820,1820,John Irving
821,1821,Madeline Miller
822,1822,Ernest J. Gaines
823,1823,Solomon Northup
824,1824,Aimee Cabo Nikolov
825,1825,Chris Cleave
826,1826,Trevor Alan Foris
827,1827,Andrew Clements
828,1828,Henry Miller
829,1829,Marissa Meyer
830,1830,Michelle Browne
831,1831,Dave Pelzer
832,1832,Anne Morrow Lindbergh
833,1833,Diana Gabaldon
834,1834,Ken Follett
835,1835,Sarah J. Maas
836,1836,C.S. Lewis
837,1837,Wendy E. Slater
838,1838,Harold Phifer
839,1839,Gillian Flynn
840,1840,Kate DiCamillo
841,1841,Anne  Willow
842,1842,Libba Bray
843,1843,E.M. Forster
844,1844,Allen Ginsberg
845,1845,Diana Gabaldon
846,1846,Michael Zboray
847,1847,Annie Dillard
848,1848,Dr. Seuss
849,1849,David Sedaris
850,1850,Biao  Wang
851,1851,Robert A. Heinlein
852,1852,Patrick Ness
853,1853,Benjamin Alire Sáenz
854,1854,Kirsten Fullmer
855,1855,William S. Burroughs
856,1856,Robert Munsch
857,1857,Michael G. Kramer
858,1858,Irène Némirovsky
859,1859,Ally Condie
860,1860,Anne Michaud
861,1861,Paramahansa Yogananda
862,1862,Diana Gabaldon
863,1863,Maria Nhambu
864,1864,Azar Nafisi
865,1865,Paul Kalanithi
866,1866,D.S.   Smith
867,1867,Ray Bradbury
868,1868,James Fenimore Cooper
869,1869,Jeffrey Archer
870,1870,Kate DiCamillo
871,1871,Ruta Sepetys
872,1872,Dennis Lehane
873,1873,Vladimir Nabokov
874,1874,Tom Wolfe
875,1875,Nikolas Schreck
876,1876,M.L. Stedman
877,1877,Raoul Davis Jr.
878,1878,Stephen King
879,1879,Mark Helprin
880,1880,Hilary Mantel
881,1881,C. Toni Graham
882,1882,Dan Brown
883,1883,Hermann Hesse
884,1884,Pernell Plath Meier
885,1885,Henry David Thoreau
886,1886,Barbara Kingsolver
887,1887,Jane Smiley
888,1888,Richard Dawkins
889,1889,Wallace Stegner
890,1890,John Grisham
891,1891,Eugene O'Neill
892,1892,Tina Fey
893,1893,Justin Cronin
894,1894,Tracy Kidder
895,1895,Anne Brontë
896,1896,Sharon Creech
897,1897,Carol S. Dweck
898,1898,Ernesto Che Guevara
899,1899,Diana Gabaldon
900,1900,Napoleon Hill
901,1901,Martin Heidegger
902,1902,Richard  Polak
903,1903,Ellen Raskin
904,1904,Stephen Douglass
905,1905,Dr. Seuss
906,1906,Shannon Hale
907,1907,W. Somerset Maugham
908,1908,Robert Fulghum
909,1909,Steve  Pemberton
910,1910,Orson Scott Card
911,1911,Peter Benchley
912,1912,Edward Abbey
913,1913,Stendhal
914,1914,Unknown
915,1915,سید مرتضی مصطفوی
916,1916,Dorothy Allison
917,1917,Carolyn Keene
918,1918,Adam Smith
919,1919,Jasper Fforde
920,1920,Aravind Adiga
921,1921,Michael Pollan
922,1922,Veronica Roth
923,1923,Stanisław Lem
924,1924,Jean-Paul Sartre
925,1925,Émile Zola
926,1926,Lawrence Hill
927,1927,Karen Glista
928,1928,Thomas Mann
929,1929,Dean Koontz
930,1930,Thomas Hardy
931,1931,Ted Bernal Guevara
932,1932,John Steinbeck
933,1933,Dennis Lehane
934,1934,C.S. Lewis
935,1935,Robert Frost
936,1936,Boris Pronsky
937,1937,Dashiell Hammett
938,1938,Rudyard Kipling
939,1939,Nicholas Sparks
940,1940,Patrick Rothfuss
941,1941,Ayn Rand
942,1942,Fynn
943,1943,Suzanne Boisvert
944,1944,Octavia E. Butler
945,1945,Marjorie Kinnan Rawlings
946,1946,Philip K. Dick
947,1947,Jean M. Auel
948,1948,Charles Dickens
949,1949,Esther Forbes
950,1950,Catherine Marshall
951,1951,Ishmael Beah
952,1952,Cassandra Clare
953,1953,Italo Calvino
954,1954,Watty Piper
955,1955,John Elder Robison
956,1956,Stephen King
957,1957,Pittacus Lore
958,1958,Misty Mount
959,1959,Jana Petken
960,1960,Lloyd C. Douglas
961,1961,Paullina Simons
962,1962,Misty Mount
963,1963,Martha Emms
964,1964,John le Carré
965,1965,Eric Carle
966,1966,Cassandra Clare
967,1967,Chuck Palahniuk
968,1968,Rom LcO'Feer
969,1969,Stephanie Perkins
970,1970,Augusten Burroughs
971,1971,Władysław Szpilman
972,1972,Herman Wouk
973,1973,Sherman Alexie
974,1974,Cheryl Strayed
975,1975,Christine M. Knight
976,1976,John Green
977,1977,George Bernard Shaw
978,1978,Nicholas Sparks
979,1979,Linda    Armstrong
980,1980,Susan Scott
981,1981,Betty Mahmoody
982,1982,Charles Duhigg
983,1983,Simon W. Clark
984,1984,L.M. Montgomery
985,1985,Philip Gourevitch
986,1986,Barry Kirwan
987,1987,Rumi
988,1988,Vincent Panettiere
989,1989,Jack Getze
990,1990,Andrew  Davidson
991,1991,Zack Love
992,1992,Irving Stone
993,1993,Kenneth Jarrett Singleton
994,1994,Ursula Hegi
995,1995,Graham Greene
996,1996,Wilkie Collins
997,1997,Chuck Palahniuk
998,1998,Louise Fitzhugh
999,1999,M.R. Noble
1000,2000,Walter Farley
1001,2001,Barbara W. Tuchman
1002,2002,Greg Behrendt
